ruso; pagina; espanol
а; 5;Y
абсолютно; 18;аbsolutamente
август; 18;аgosto
автобус; 1;autobus
альбом; 11;álbum
американец/американка; 5;americano/a (sust.)
американский; 5;americano/(adjet.)
ананас; 11;piña
английский; 5;inglés
апельсин; 11;naranja
аппетит; 14;apetito
апрель; 18;abril
араб/арабка; 5;árabe (sust.)
арабский; 5;árabe (adjet.)
арбуз; 11;sandía
артист; 3;artista
аудитория; 7;aula| clase
бабушка; 6;abuela
балет; 11;ballet
банан; 11;plátano
банк; 12;banco
баня; 20;sauna
беда; 26;desgracia
беседка; 28;pabellón| cenador
библиотека; 12;biblioteca
билет; 9;entrada| billete
блин; 11;crep
болеть; 14;doler| estar enfermo
больница; 12;hospital
больше всего; 15;lo mas| más que todo
большой; 8;grande
борщ; 11;sopa de remolacha
бояться; 13;tener miedo
брат; 2;hermano
брать; 16;coger|  tomar
букет; 18;ramo
бусы; 27;collar
бутерброд; 11;bocadillo
быстро; 7;rápido
быть; 13;ser
бюро; ;escritorio| oficina
в; 9;en
важно; 13;importante (adverb)
важный; 9;importante (adjet.)
ванна; 1;baño
варенье; 11;mermelada
ваш; 8;vuestro| de usted| suyo
вдруг; 28;de repente
велосипед; 19;bicicleta
весёлый; 27;alegre
весна; 18;primavera
вести; 25;conducir
весь; 19;todo| entero
вечер; 3;tarde| velada| fiesta
взять; 16;coger| tomar
видеть; 1;ver
вино; 1;vino
виноград; 11;uvas
висеть; 28;colgar
витамины; 14;vitaminas
вкусный; 15;delicioso| rico
влюбиться; 28;enamorarse
вместе; 15;juntos
внимательно; 7;atentamente
во-вторых; 20;en 2º lugar
вода; 1;agua
возвращаться; 24;volver
воздух; 28;aire
вокзал; 12;estación(tren|autobús)
вокруг; 26;alrededor
волейбол; 24;voleibol
волосы; 27;pelo
во-первых; 20;en primer lugar
восемь; 8;ocho
восемьдесят; 15;ochenta
восемьсот; 15;ochocientos
воскресенье; ;domingo
воспитанный; 27;educado
восток; 12;oriente
восьмой; 8;octavо
вот; 12;hay| he aqui
врач; 4;médico
время; 11;tiempo
все; 8;todos
всегда; 16;siempre
вспоминать; 19;acordarse
вставать; 16;levantarse
встреча; 19;reunión| encuentro
встречать; 19;encontrar| ir a buscar
встречаться; 23;salir con alguien| encontrarse
вторник; 9;martes
второй; 2;segundo
вчера; 13;ayer
вы; 3;vosotros/as| usted/es
выбирать; 15;elegir
выглядеть; 27;parecer| tener aspecto 
высокий; 14;alto
выставка; 1;exposición
выходить; 20;salir
выходной; 26;dia libre
гадость; 28;asquerosidad|cosa mala
газета; 3;periódico
галстук; 28;corbata
где; 6;donde
герой; 27;héroe
главный; 8;principal
глаз; 14;ojo
глупый; 27;tonto
говорить; 5;hablar
год; 18;año
голова; 14;cabeza
голубой; 27;azul claro
гора; 20;monte
город; 1;ciudad
горячий; 14;caliente
господин; 11;señor
госпожа; 6;señora
гостиница; 20;hotel
гость; 1;huésped| invitado
готовить; 16;cocinar
грамматика; 11;gramática
грипп; 14;gripe
грудь; 14;pecho
грустный; 27;triste
грусть; 23;tristeza
груша; 11;pera
гулять; ;pasear
да; 1;sí
давать; 16;dar
давно; 7;hace mucho tiempo
